,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,8/1/2017,8/2/2017,"149.1","159.28","$10.18",,"($2.23)","($3.21)",,,"($2.22)","($0.68)","($0.02)","$0.62","($2.68)",,,"$0.04","$1.38","$2.66","$1.24","($1.42)",,,"($1.78)","($1.05)"
,8/1/2017,8/2/2017,"","","7.0%",,"-1.0%","-2.0%",,,"-1.0%","0.0%","0.0%","0.0%","-2.0%",,,"0.0%","1.0%","2.0%","1.0%","-1.0%",,,"-1.0%","-1.0%"

2,1/31/2017,2/1/2017,"121.15","127.03","$5.88",,"$0.95","$1.28",,,"$2.10","$3.51","$4.32","$4.62","$5.43",,,"$6.05","$6.44","$8.49","$8.64","$8.07",,,,"$9.20"
,1/31/2017,2/1/2017,"","","5.0%",,"1.0%","1.0%",,,"2.0%","3.0%","3.0%","4.0%","4.0%",,,"5.0%","5.0%","7.0%","7.0%","6.0%",,,,"7.0%"

3,11/2/2017,11/3/2017,"166.6","174","$7.40",,,,"($1.63)","($0.09)","$0.66","$1.11","$1.11",,,"($0.50)","($0.96)","($4.03)","($2.82)","($2.96)",,,"($3.71)","($3.22)","($0.64)"
,11/2/2017,11/3/2017,"","","4.0%",,,,"-1.0%","0.0%","0.0%","1.0%","1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%","-2.0%","0.0%"

4,5/8/2017,5/9/2017,"149.03","153.87","$4.84",,"($0.24)","($1.42)","$0.83",,,"$2.14","$2.07","($0.27)","($2.60)","($0.49)",,,"$0.13","$1.03","($0.03)","($0.14)","$0.13"
,5/8/2017,5/9/2017,"","","3.0%",,"0.0%","-1.0%","1.0%",,,"1.0%","1.0%","0.0%","-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%"

5,10/27/2017,10/30/2017,"159.29","163.89","$4.60",,"$4.01","$5.98","$2.71","$10.11",,,"$8.48","$10.02","$10.77","$11.22","$11.22",,,"$9.61","$9.15","$6.08","$7.29","$7.15"
,10/27/2017,10/30/2017,"","","3.0%",,"2.0%","4.0%","2.0%","6.0%",,,"5.0%","6.0%","7.0%","7.0%","7.0%",,,"6.0%","6.0%","4.0%","4.0%","4.0%"

6,2/14/2017,2/15/2017,"133.47","135.52","$2.05",,"$0.15","($0.42)",,,,"$0.71","$0.91","$1.86","$0.39",,,"$1.62","$1.56","$2.37","$4.48","$3.26",,,"$3.85","$3.54"
,2/14/2017,2/15/2017,"","","2.0%",,"0.0%","0.0%",,,,"1.0%","1.0%","1.0%","0.0%",,,"1.0%","1.0%","2.0%","3.0%","2.0%",,,"3.0%","3.0%"

7,3/1/2017,3/2/2017,"137.89","140","$2.11",,"($1.22)",,,"($0.63)","($0.94)","($1.05)","($1.26)","($0.75)",,,"($1.15)","($0.70)","($0.59)","$0.72","$1.00",,,"$0.40","$2.11","($0.15)"
,3/1/2017,3/2/2017,"","","2.0%",,"-1.0%",,,"0.0%","-1.0%","-1.0%","-1.0%","-1.0%",,,"-1.0%","0.0%","0.0%","1.0%","1.0%",,,"0.0%","2.0%","0.0%"

8,3/28/2017,3/29/2017,"140.91","143.68","$2.77",,"$0.51","$0.04",,,"$0.03","($0.43)","$0.54","$0.61","$0.05",,,"($0.08)","($0.74)","($2.08)","($1.77)",,,,"($2.20)","($2.27)"
,3/28/2017,3/29/2017,"","","2.0%",,"0.0%","0.0%",,,"0.0%","0.0%","0.0%","0.0%","0.0%",,,"0.0%","-1.0%","-1.0%","-1.0%",,,,"-2.0%","-2.0%"

9,5/1/2017,5/2/2017,"145.1","147.54","$2.44",,"($1.95)","($1.02)","($0.78)",,,"$1.49","$6.33","$6.09","$4.91","$7.16",,,"$8.47","$8.40","$6.06","$3.73","$5.84",,,"$6.46"
,5/1/2017,5/2/2017,"","","2.0%",,"-1.0%","-1.0%","-1.0%",,,"1.0%","4.0%","4.0%","3.0%","5.0%",,,"6.0%","6.0%","4.0%","3.0%","4.0%",,,"4.0%"

10,5/5/2017,5/8/2017,"146.76","149.03","$2.27",,"$4.84","$4.60","$3.42","$5.67",,,"$6.98","$6.91","$4.57","$2.24","$4.35",,,"$4.97","$5.87","$4.81","$4.70","$4.97"
,5/5/2017,5/8/2017,"","","2.0%",,"3.0%","3.0%","2.0%","4.0%",,,"5.0%","5.0%","3.0%","2.0%","3.0%",,,"3.0%","4.0%","3.0%","3.0%","3.0%"

11,6/19/2017,6/20/2017,"143.66","146.87","$3.21",,"($1.35)","($1.10)","($1.74)",,,"$0.30","($1.86)","($2.38)","($2.16)","($2.42)",,,"($1.99)",,"($3.18)","($3.85)","($3.97)",,,"($2.76)"
,6/19/2017,6/20/2017,"","","2.0%",,"-1.0%","-1.0%","-1.0%",,,"0.0%","-1.0%","-2.0%","-1.0%","-2.0%",,,"-1.0%",,"-2.0%","-3.0%","-3.0%",,,"-2.0%"

12,7/13/2017,7/14/2017,"145.5","147.97","$2.47",,,,"$0.85","$1.23","$2.51","$3.53","$2.02",,,"$2.61","$3.83","$5.38","$5.78","$1.92",,,"$1.93","$1.13","$11.31","$9.08"
,7/13/2017,7/14/2017,"","","2.0%",,,,"1.0%","1.0%","2.0%","2.0%","1.0%",,,"2.0%","3.0%","4.0%","4.0%","1.0%",,,"1.0%","1.0%","8.0%","6.0%"

13,8/11/2017,8/14/2017,"156.6","159.32","$2.72",,"$1.34","$2.62","$1.20","($1.46)",,,"($1.82)","($1.09)","($0.25)","$1.11","$0.33",,,"$0.82","$0.78","$4.48","$4.32","$5.48"
,8/11/2017,8/14/2017,"","","2.0%",,"1.0%","2.0%","1.0%","-1.0%",,,"-1.0%","-1.0%","0.0%","1.0%","0.0%",,,"1.0%","0.0%","3.0%","3.0%","3.0%"

14,8/29/2017,8/30/2017,"160.1","163.8","$3.70",,"($0.16)","$1.00",,,,"($0.05)","($1.09)","($1.71)","($2.94)",,,"($3.30)","($1.19)","($3.93)","($4.81)","($5.33)",,,"($3.69)","($4.29)"
,8/29/2017,8/30/2017,"","","2.0%",,"0.0%","1.0%",,,,"0.0%","-1.0%","-1.0%","-2.0%",,,"-2.0%","-1.0%","-2.0%","-3.0%","-3.0%",,,"-2.0%","-3.0%"

15,10/30/2017,10/31/2017,"163.89","167.9","$4.01",,"$1.97","($1.30)","$6.10",,,"$4.47","$6.01","$6.76","$7.21","$7.21",,,"$5.60","$5.14","$2.07","$3.28","$3.14",,,"$2.39"
,10/30/2017,10/31/2017,"","","2.0%",,"1.0%","-1.0%","4.0%",,,"3.0%","4.0%","4.0%","4.0%","4.0%",,,"3.0%","3.0%","1.0%","2.0%","2.0%",,,"1.0%"

16,11/21/2017,11/22/2017,"170.78","173.36","$2.58",,,"$1.74",,,"$1.69","$0.94","($0.73)","($2.93)","($3.41)",,,"($0.88)","($4.30)","($5.86)","($4.33)","($2.87)",,,"($4.16)","($1.21)"
,11/21/2017,11/22/2017,"","","2.0%",,,"1.0%",,,"1.0%","1.0%","0.0%","-2.0%","-2.0%",,,"-1.0%","-2.0%","-3.0%","-2.0%","-2.0%",,,"-2.0%","-1.0%"

17,12/11/2017,12/12/2017,"169.2","172.15","$2.95",,"$0.35","$0.25","$1.48",,,"$2.73","$2.88","$2.72","$2.02","$2.53"
,12/11/2017,12/12/2017,"","","2.0%",,"0.0%","0.0%","1.0%",,,"2.0%","2.0%","2.0%","1.0%","1.0%"

18,12/27/2016,12/28/2016,"116.52","117.52","$1.00",,"($1.07)","($0.87)",,,,"($1.72)","($1.67)","($1.60)","($0.74)",,,"$0.43","$1.25","$1.22","$1.38","$1.59",,,,"$0.82"
,12/27/2016,12/28/2016,"","","1.0%",,"-1.0%","-1.0%",,,,"-1.0%","-1.0%","-1.0%","-1.0%",,,"0.0%","1.0%","1.0%","1.0%","1.0%",,,,"1.0%"

19,1/5/2017,1/6/2017,"115.92","116.78","$0.86",,,,"$1.17","$1.99","$1.96","$2.12","$2.33",,,,"$1.56","$3.22","$2.62","$3.67",,,"$3.22","$2.77","$3.64","$4.89"
,1/5/2017,1/6/2017,"","","1.0%",,,,"1.0%","2.0%","2.0%","2.0%","2.0%",,,,"1.0%","3.0%","2.0%","3.0%",,,"3.0%","2.0%","3.0%","4.0%"

