,,,,,,,Difference X Days Later
,,,,,,,1 days,2 days,3 days,4 days,5 days,6 days,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days
Rank, Start Date, End Date, Start Value, End Value, Difference in $, ,
,,,,,Difference in %,
1,6/8/2017,6/12/2017,"155.25","145.74","($9.51)",,"$1.42","$1.76","($2.42)","($1.96)",,,"($2.08)","$1.13","($0.22)","$0.03","($0.61)",,,"$1.43","($0.73)","($1.25)","($1.03)","($1.29)"
,6/8/2017,6/12/2017,"","","-6.0%",,"1.0%","1.0%","-2.0%","-1.0%",,,"-1.0%","1.0%","0.0%","0.0%","0.0%",,,"1.0%","-1.0%","-1.0%","-1.0%","-1.0%"

2,6/9/2017,6/13/2017,"155.19","147.16","($8.03)",,"$0.34","($3.84)","($3.38)",,,"($3.50)","($0.29)","($1.64)","($1.39)","($2.03)",,,"$0.01","($2.15)","($2.67)","($2.45)","($2.71)",,,"($2.28)"
,6/9/2017,6/13/2017,"","","-5.0%",,"0.0%","-3.0%","-2.0%",,,"-2.0%","0.0%","-1.0%","-1.0%","-1.0%",,,"0.0%","-1.0%","-2.0%","-2.0%","-2.0%",,,"-2.0%"

3,9/20/2017,9/22/2017,"157.9","151.54","($6.36)",,,,"($1.55)","$0.24","$2.26","$2.35","$1.67",,,"$2.72","$2.47","$2.09","$2.64","$3.43",,,"$4.27","$4.52","$4.43","$4.81"
,9/20/2017,9/22/2017,"","","-4.0%",,,,"-1.0%","0.0%","1.0%","2.0%","1.0%",,,"2.0%","2.0%","1.0%","2.0%","2.0%",,,"3.0%","3.0%","3.0%","3.0%"

4,9/21/2017,9/25/2017,"155.8","149.99","($5.81)",,"$1.79","$3.81","$3.90","$3.22",,,"$4.27","$4.02","$3.64","$4.19","$4.98",,,"$5.82","$6.07","$5.98","$6.36","$6.74"
,9/21/2017,9/25/2017,"","","-4.0%",,"1.0%","3.0%","3.0%","2.0%",,,"3.0%","3.0%","2.0%","3.0%","3.0%",,,"4.0%","4.0%","4.0%","4.0%","4.0%"

5,5/16/2017,5/18/2017,"155.94","151.27","($4.67)",,"$2.11",,,"$2.73","$3.63","$2.57","$2.46","$2.73",,,,"$2.15","$2.70","$1.90","$2.31",,,"$3.07","$2.63","$3.75"
,5/16/2017,5/18/2017,"","","-3.0%",,"1.0%",,,"2.0%","2.0%","2.0%","2.0%","2.0%",,,,"1.0%","2.0%","1.0%","2.0%",,,"2.0%","2.0%","2.0%"

6,6/13/2017,6/15/2017,"147.16","143.32","($3.84)",,"$0.46",,,"$0.34","$3.55","$2.20","$2.45","$1.81",,,"$3.85","$1.69","$1.17","$1.39","$1.13",,,"$1.56",,"$0.37"
,6/13/2017,6/15/2017,"","","-3.0%",,"0.0%",,,"0.0%","2.0%","2.0%","2.0%","1.0%",,,"3.0%","1.0%","1.0%","1.0%","1.0%",,,"1.0%",,"0.0%"

7,6/14/2017,6/16/2017,"147.5","143.78","($3.72)",,,,"($0.12)","$3.09","$1.74","$1.99","$1.35",,,"$3.39","$1.23","$0.71","$0.93","$0.67",,,"$1.10",,"($0.09)","($0.76)"
,6/14/2017,6/16/2017,"","","-3.0%",,,,"0.0%","2.0%","1.0%","1.0%","1.0%",,,"2.0%","1.0%","0.0%","1.0%","0.0%",,,"1.0%",,"0.0%","-1.0%"

8,7/27/2017,7/31/2017,"153.75","149.9","($3.85)",,"($0.80)","$9.38","$7.15","$6.17",,,"$7.16","$8.70","$9.36","$10.00","$6.70",,,"$9.42","$10.76","$12.04","$10.62","$7.96"
,7/27/2017,7/31/2017,"","","-3.0%",,"-1.0%","6.0%","5.0%","4.0%",,,"5.0%","6.0%","6.0%","7.0%","4.0%",,,"6.0%","7.0%","8.0%","7.0%","5.0%"

9,8/16/2017,8/18/2017,"161.94","157.86","($4.08)",,,,"($0.36)","$0.37","$1.21","$2.57","$1.79",,,"$2.28","$2.24","$5.94","$5.78","$6.94",,,,"$5.89","$4.85","$4.23"
,8/16/2017,8/18/2017,"","","-3.0%",,,,"0.0%","0.0%","1.0%","2.0%","1.0%",,,"1.0%","1.0%","4.0%","4.0%","4.0%",,,,"4.0%","3.0%","3.0%"

10,12/4/2017,12/6/2017,"172.48","167.5","($4.98)",,"$1.53","$2.99",,,"$1.70","$4.65","$5.00","$4.90","$6.13",,,"$7.38","$7.53","$7.37","$6.67","$7.18"
,12/4/2017,12/6/2017,"","","-3.0%",,"1.0%","2.0%",,,"1.0%","3.0%","3.0%","3.0%","4.0%",,,"4.0%","4.0%","4.0%","4.0%","4.0%"

11,5/15/2017,5/17/2017,"156.01","153.6","($2.41)",,"($2.33)","($0.22)",,,"$0.40","$1.30","$0.24","$0.13","$0.40",,,,"($0.18)","$0.37","($0.43)","($0.02)",,,"$0.74","$0.30"
,5/15/2017,5/17/2017,"","","-2.0%",,"-2.0%","0.0%",,,"0.0%","1.0%","0.0%","0.0%","0.0%",,,,"0.0%","0.0%","0.0%","0.0%",,,"0.0%","0.0%"

12,6/26/2017,6/28/2017,"147.17","144.49","($2.68)",,"$0.22","($0.04)",,,"$0.39",,"($0.80)","($1.47)","($1.59)",,,"($0.38)","$0.24","$1.38","$1.01","$3.48",,,"$4.33","$4.71"
,6/26/2017,6/28/2017,"","","-2.0%",,"0.0%","0.0%",,,"0.0%",,"-1.0%","-1.0%","-1.0%",,,"0.0%","0.0%","1.0%","1.0%","2.0%",,,"3.0%","3.0%"

13,7/26/2017,7/28/2017,"153.35","149.89","($3.46)",,,,"$0.01","($0.79)","$9.39","$7.16","$6.18",,,"$7.17","$8.71","$9.37","$10.01","$6.71",,,"$9.43","$10.77","$12.05","$10.63"
,7/26/2017,7/28/2017,"","","-2.0%",,,,"0.0%","-1.0%","6.0%","5.0%","4.0%",,,"5.0%","6.0%","6.0%","7.0%","4.0%",,,"6.0%","7.0%","8.0%","7.0%"

14,8/2/2017,8/4/2017,"159.28","156.07","($3.21)",,,,"$0.99","$2.53","$3.19","$3.83","$0.53",,,"$3.25","$4.59","$5.87","$4.45","$1.79",,,"$1.43","$2.16","$3.00","$4.36"
,8/2/2017,8/4/2017,"","","-2.0%",,,,"1.0%","2.0%","2.0%","2.0%","0.0%",,,"2.0%","3.0%","4.0%","3.0%","1.0%",,,"1.0%","1.0%","2.0%","3.0%"

15,8/9/2017,8/11/2017,"159.26","156.6","($2.66)",,,,"$2.72","$4.06","$5.34","$3.92","$1.26",,,"$0.90","$1.63","$2.47","$3.83","$3.05",,,"$3.54","$3.50","$7.20","$7.04"
,8/9/2017,8/11/2017,"","","-2.0%",,,,"2.0%","3.0%","3.0%","3.0%","1.0%",,,"1.0%","1.0%","2.0%","2.0%","2.0%",,,"2.0%","2.0%","5.0%","4.0%"

16,8/17/2017,8/21/2017,"160.52","157.5","($3.02)",,"$0.73","$1.57","$2.93","$2.15",,,"$2.64","$2.60","$6.30","$6.14","$7.30",,,,"$6.25","$5.21","$4.59","$3.36"
,8/17/2017,8/21/2017,"","","-2.0%",,"0.0%","1.0%","2.0%","1.0%",,,"2.0%","2.0%","4.0%","4.0%","5.0%",,,,"4.0%","3.0%","3.0%","2.0%"

17,9/12/2017,9/14/2017,"162.61","158.99","($3.62)",,"($0.52)",,,"$1.12","$0.52","($1.09)","($3.19)","($7.45)",,,"($9.00)","($7.21)","($5.19)","($5.10)","($5.78)",,,"($4.73)","($4.98)","($5.36)"
,9/12/2017,9/14/2017,"","","-2.0%",,"0.0%",,,"1.0%","0.0%","-1.0%","-2.0%","-5.0%",,,"-6.0%","-5.0%","-3.0%","-3.0%","-4.0%",,,"-3.0%","-3.0%","-3.0%"

18,9/19/2017,9/21/2017,"159.51","155.8","($3.71)",,"($4.26)",,,"($5.81)","($4.02)","($2.00)","($1.91)","($2.59)",,,"($1.54)","($1.79)","($2.17)","($1.62)","($0.83)",,,"$0.01","$0.26","$0.17"
,9/19/2017,9/21/2017,"","","-2.0%",,"-3.0%",,,"-4.0%","-3.0%","-1.0%","-1.0%","-2.0%",,,"-1.0%","-1.0%","-1.0%","-1.0%","-1.0%",,,"0.0%","0.0%","0.0%"

19,10/17/2017,10/19/2017,"159.78","156.75","($3.03)",,"($0.14)",,,"$0.14","($0.46)","$0.16","$0.48","$2.54",,,"$7.14","$11.15","$13.12","$9.85","$17.25",,,"$15.62","$17.16","$17.91"
,10/17/2017,10/19/2017,"","","-2.0%",,"0.0%",,,"0.0%","0.0%","0.0%","0.0%","2.0%",,,"5.0%","7.0%","8.0%","6.0%","11.0%",,,"10.0%","11.0%","11.0%"

